FIPS,Name,ToxPi Score,HClust Group,KMeans Group,Source,Infection Rate: Transmissible Cases!25!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!10!0x5ced5cff,Intervention: Social Distancing!10!0x4258c9ff,Intervention: Testing!10!0x6079f7ff,Health & Environment: Pop Demographics!10!0x6b0b9eff,Health & Environment: Air Pollution!10!0x8e26c4ff,Health & Environment: Age Distribution!10!0x9a42c8ff,Health & Environment: Co-morbidities!10!0xb460e0ff,Health & Environment: Health Disparities!10!0xc885ecff,Health & Environment: Hospital Beds!5!0xdeb9f1ff
17031,"Illinois, Cook",0.5696894551097323,6,8,"-87.8166,41.8414",0.5456206837761085,0.0527016356457981,0.8223579570945715,0.8758,1.0,0.4047992674872128,0.6204805193272244,0.7185628742514971,0.4833394486037307,0.24747306287389806,0.3495823889441025,0.4166402860524928
17115,"Illinois, Macon",0.4924958605473837,10,6,"-88.9634,39.8606",0.37502967184332403,0.0884955752212389,0.6376808931414331,0.6425,1.0,0.4047992674872128,0.4974044912659008,0.5269461077844312,0.5978576089534523,0.3629156544616842,0.30935077533969396,0.3898429823791164
17197,"Illinois, Will",0.4597590403695397,8,9,"-87.9786,41.4462",0.507658305315501,0.06807330971815799,0.6954881454202265,0.1465,1.0,0.4047992674872128,0.5136111120658728,0.6167664670658684,0.4316532862111269,0.2524477494352078,0.11753275043684712,0.5300136166981062
17143,"Illinois, Peoria",0.5213919561906271,10,6,"-89.7608,40.787",0.4973583848169284,0.22875816993464101,0.6661074106686921,0.6444,1.0,0.4047992674872128,0.5407952713969375,0.532934131736527,0.5357771420024626,0.3653022450018621,0.29983330729575386,0.33935125956749945
17089,"Illinois, Kane",0.486922037722324,8,9,"-88.4286,41.9384",0.5575465613034423,0.0713242130429008,0.7000308974914159,0.2958,1.0,0.4047992674872128,0.5142449681911166,0.5868263473053893,0.4467440848690857,0.21739065632390295,0.2534259090738817,0.4754696620139778
17043,"Illinois, DuPage",0.4617279613156576,8,9,"-88.0864,41.8512",0.4919727779364685,0.0582436260623229,0.7772635894669608,0.3079,1.0,0.4047992674872128,0.417252705181129,0.6107784431137724,0.4990893333193936,0.1776125604116309,0.07466638272254633,0.4863669537414844
17201,"Illinois, Winnebago",0.530627863778932,10,8,"-89.1609,42.3364",0.5565562787098103,0.0964224872231687,0.6912481563661588,0.5539999999999999,1.0,0.4047992674872128,0.5386684023904593,0.5089820359281437,0.5494974081927578,0.3612228254256567,0.37059658257672784,0.428463356966846
17093,"Illinois, Kendall",0.405240822700278,8,9,"-88.4287,41.5908",0.4953288824241793,0.0776595744680851,0.6464548873698709,0.0478,1.0,0.4047992674872128,0.4819861695458318,0.562874251497006,0.3453966168814669,0.21918203216347293,0.07986506551412335,0.0
1073,"Alabama, Jefferson",0.5898500719088108,6,8,"-86.8951,33.5555",0.6114208676243498,0.32472989195678303,0.7131715760532503,0.6211,1.0,0.6744794480404372,0.5905968650968513,0.6227544910179641,0.5117241638959221,0.42360075328414215,0.35635079449146795,0.33686138388166786
26161,"Michigan, Washtenaw",0.4688121446160953,10,6,"-83.8385,42.2531",0.3736970045165132,0.0427089688834655,0.7196138680653313,0.7873,1.0,0.5193851627143539,0.4999155712533015,0.4790419161676647,0.4555137084840577,0.15405395377820247,0.10430032005143758,0.3708606229076529
26163,"Michigan, Wayne",0.5568226380225737,10,8,"-83.2813,42.281",0.4739505986712837,0.036698882109295,0.8117573066985339,0.6587,1.0,0.5193851627143539,0.6277077665718496,0.502994011976048,0.504194780386106,0.44443555817580394,0.47411481163266705,0.4275352787879045
36029,"New York, Erie",0.4821704824326524,10,6,"-78.7306,42.7625",0.4852768593213796,0.0671056318296442,0.7630551447653404,0.6355,1.0,0.09515994675156887,0.5687628246027425,0.4610778443113772,0.5627304600978258,0.31747316005085263,0.16069181507384336,0.43186974107266535
1117,"Alabama, Shelby",0.5078533000047278,8,9,"-86.6623,33.2688",0.5921241220501037,0.33865450399087804,0.6273675762855759,0.1764,1.0,0.6744794480404372,0.5070940498336849,0.5389221556886228,0.4939129750014257,0.313473726613206,0.0941261509282648,0.5455052210943652
25027,"Massachusetts, Worcester",0.4663499876362327,10,6,"-71.9049,42.3503",0.4622757056598686,0.0286858450474011,0.6618428811949516,0.7931,1.0,0.4001180794440997,0.41463707371570335,0.29341317365269465,0.5092312328105775,0.2284646101988448,0.12064461257587385,0.4757819903735804
1089,"Alabama, Madison",0.5469850687965054,10,9,"-86.5507,34.7633",0.5637999923899982,0.476772616136919,0.6752706638204405,0.3836,1.0,0.6744794480404372,0.6346671043808639,0.5149700598802395,0.4939129750014257,0.370959371034868,0.2263406030977934,0.4304536913135885
1097,"Alabama, Mobile",0.5970383442515245,6,8,"-88.2084,30.7847",0.6024838066277151,0.19447033240136702,0.6704170537884879,0.723,1.0,0.6744794480404372,0.6842760495622291,0.4670658682634731,0.5191044408593759,0.4579982025513245,0.4678370046721896,0.3907131052731322
25013,"Massachusetts, Hampden",0.5102303136161898,10,6,"-72.6324,42.1344",0.4843792526558991,0.0364974466806849,0.6903240079547597,0.843,1.0,0.4001180794440997,0.5248082488230783,0.311377245508982,0.5357771420024626,0.30533033539983256,0.3251718269455341,0.4255503582870648
25009,"Massachusetts, Essex",0.4849461422107614,10,6,"-70.9469,42.6688",0.503717977203502,0.0305290872617854,0.714390212086876,0.8045,1.0,0.4001180794440997,0.4575520194434646,0.2874251497005988,0.542700408721451,0.1905117833790181,0.13797142723958014,0.5041964219595644
36119,"New York, Westchester",0.4971307868923385,10,6,"-73.7574,41.1628",0.4920547609760554,0.0154725477743779,0.8257911120910538,0.9386,1.0,0.09515994675156887,0.5966747240849553,0.44311377245508987,0.5449798764246452,0.11299810812597914,0.18925397576975372,0.4593802882477169
1125,"Alabama, Tuscaloosa",0.6004897098114237,6,8,"-87.5256,33.2873",0.6848910074804727,0.384703852788959,0.6387607411293372,0.809,1.0,0.6744794480404372,0.5765381669303161,0.4970059880239522,0.4437744133187831,0.3860985791869958,0.3753562199842618,0.4010567418661029
25005,"Massachusetts, Bristol",0.4742155242524101,10,6,"-71.1087,41.7923",0.49260392830287897,0.0387319600345381,0.6729603460582114,0.6466,1.0,0.4001180794440997,0.4538639589523053,0.23353293413173656,0.542700408721451,0.28397598377787925,0.2052558249397773,0.4756214327103978
25021,"Massachusetts, Norfolk",0.4505591168656315,10,6,"-71.2053,42.1607",0.4526451296958102,0.0300594582691037,0.7249923788213172,0.6603,1.0,0.4001180794440997,0.3919806775142294,0.3053892215568862,0.540406913436432,0.15548674238636928,0.026527013697613733,0.5602907611787408
2020,"Alaska, Anchorage",0.455527340409562,10,6,"-149.1427,61.15",0.41485238494146215,0.20997375328084,0.6681951130401846,0.8176,1.0,0.2976835193611773,0.7185197689240339,0.0,0.3606106398115555,0.2811994770152286,0.18476294500321186,0.4468049059401152
4013,"Arizona, Maricopa",0.6147490062580836,6,8,"-112.4918,33.3484",0.7290883136981674,0.5686549077689511,0.7290967847844378,0.7259,1.0,0.7693825617907736,0.6107802475859518,0.4550898203592814,0.4990893333193936,0.22542919834418,0.3222160698319449,0.4806606481603755
35001,"New Mexico, Bernalillo",0.4824347154493597,10,6,"-106.6704,35.0516",0.4616116943311766,0.147134744450181,0.7254474707324037,0.659,1.0,0.2428022770497981,0.6119202109818931,0.23353293413173656,0.5166605513962695,0.22240246810436898,0.3537419374344066,0.47465897046617406
18097,"Indiana, Marion",0.5731507587889744,10,8,"-86.1383,39.7816",0.4963684829789522,0.0498098170621264,0.7837495282807024,0.6839,1.0,0.7604736850090358,0.5935093193310049,0.5868263473053893,0.4285603903886945,0.4010874635518759,0.4630601427132378,0.39478298460759137
18003,"Indiana, Allen",0.5419964869407669,10,9,"-85.068,41.0919",0.5688032471502311,0.166733147187874,0.673939844871029,0.3878,1.0,0.7604736850090358,0.5136768651389199,0.5748502994011976,0.4833394486037307,0.3697772156014267,0.3085077359314863,0.3944326014664909
18057,"Indiana, Hamilton",0.43746707134641816,8,9,"-86.0524,40.0731",0.4814304223849931,0.11764705882352902,0.688638615345179,0.035,1.0,0.7604736850090358,0.3495495832998238,0.5149700598802395,0.4094437997825015,0.17483613465196032,0.029666459209190726,0.4867209385560972
18163,"Indiana, Vanderburgh",0.5401852113892276,10,5,"-87.5876,38.0266",0.4220052482509011,0.143631436314363,0.6990751462885874,0.7096,1.0,0.7604736850090358,0.4534607432572845,0.5688622754491018,0.5380992168517501,0.41577185534834943,0.3029370991904099,0.3544125643727838
