FIPS,Name,ToxPi Score,HClust Group,KMeans Group,Source,Infection Rate: Transmissible Cases!25!0xcc3333ff,Infection Rate: Disease Spread!5!0xe64d4dff,Pop Concentration: Pop Mobility!10!0x57b757ff,Pop Concentration: Residential Density!10!0x5ced5cff,Intervention: Social Distancing!10!0x4258c9ff,Intervention: Testing!10!0x6079f7ff,Health & Environment: Pop Demographics!10!0x6b0b9eff,Health & Environment: Air Pollution!10!0x8e26c4ff,Health & Environment: Age Distribution!10!0x9a42c8ff,Health & Environment: Co-morbidities!10!0xb460e0ff,Health & Environment: Health Disparities!10!0xc885ecff,Health & Environment: Hospital Beds!5!0xdeb9f1ff
17031,"Illinois, Cook",0.6031607387486938,7,4,"-87.8166,41.8414",0.700649407035446,0.6223204212109821,0.8223579570945715,0.8758,0.5,0.6508091120432948,0.6204805193272244,0.7185628742514971,0.4833394486037307,0.24747306287389806,0.3495823889441025,0.4166402860524928
17115,"Illinois, Macon",0.5522267627683303,7,2,"-88.9634,39.8606",0.4852015823920939,0.8888888888888891,0.6376808931414331,0.6425,0.825,0.6508091120432948,0.4974044912659008,0.5269461077844312,0.5978576089534523,0.3629156544616842,0.30935077533969396,0.3898429823791164
17197,"Illinois, Will",0.5051070007041634,10,9,"-87.9786,41.4462",0.6284889284926543,0.6055995130858189,0.6954881454202265,0.1465,0.75,0.6508091120432948,0.5136111120658728,0.6167664670658684,0.4316532862111269,0.2524477494352078,0.11753275043684712,0.5300136166981062
17143,"Illinois, Peoria",0.5051005560924733,6,6,"-89.7608,40.787",0.3350439522855267,0.641025641025641,0.6661074106686921,0.6444,0.75,0.6508091120432948,0.5407952713969375,0.532934131736527,0.5357771420024626,0.3653022450018621,0.29983330729575386,0.33935125956749945
17089,"Illinois, Kane",0.5000822102833395,8,1,"-88.4286,41.9384",0.5419356016219402,0.6363636363636359,0.7000308974914159,0.2958,0.675,0.6508091120432948,0.5142449681911166,0.5868263473053893,0.4467440848690857,0.21739065632390295,0.2534259090738817,0.4754696620139778
17043,"Illinois, DuPage",0.4846227862767642,10,9,"-88.0864,41.8512",0.5970958199255433,0.6129793510324479,0.7772635894669608,0.3079,0.5,0.6508091120432948,0.417252705181129,0.6107784431137724,0.4990893333193936,0.1776125604116309,0.07466638272254633,0.4863669537414844
17201,"Illinois, Winnebago",0.5498312122083726,7,1,"-89.1609,42.3364",0.4906445917151689,0.764044943820225,0.6912481563661588,0.5539999999999999,0.825,0.6508091120432948,0.5386684023904593,0.5089820359281437,0.5494974081927578,0.3612228254256567,0.37059658257672784,0.428463356966846
17093,"Illinois, Kendall",0.4548760723851674,8,1,"-88.4287,41.5908",0.5332257005124028,0.6370370370370371,0.6464548873698709,0.0478,1.0,0.6508091120432948,0.4819861695458318,0.562874251497006,0.3453966168814669,0.21918203216347293,0.07986506551412335,0.0
1073,"Alabama, Jefferson",0.5462777966989687,7,2,"-86.8951,33.5555",0.4691929201471901,0.3900293255131961,0.7131715760532503,0.6211,0.675,0.777746159832104,0.5905968650968513,0.6227544910179641,0.5117241638959221,0.42360075328414215,0.35635079449146795,0.33686138388166786
26161,"Michigan, Washtenaw",0.4779628723725932,7,5,"-83.8385,42.2531",0.5921442841611395,0.413900414937759,0.7196138680653313,0.7873,0.325,0.5770553375318649,0.4999155712533015,0.4790419161676647,0.4555137084840577,0.15405395377820247,0.10430032005143758,0.3708606229076529
26163,"Michigan, Wayne",0.5916258658433806,7,4,"-83.2813,42.281",0.7419668035602852,0.45135820354943895,0.8117573066985339,0.6587,0.5,0.5770553375318649,0.6277077665718496,0.502994011976048,0.504194780386106,0.44443555817580394,0.47411481163266705,0.4275352787879045
36029,"New York, Erie",0.4810223142930712,9,3,"-78.7306,42.7625",0.6091595048503967,0.516879562043796,0.7630551447653404,0.6355,0.5,0.04621426607718536,0.5687628246027425,0.4610778443113772,0.5627304600978258,0.31747316005085263,0.16069181507384336,0.43186974107266535
1117,"Alabama, Shelby",0.4931060925224427,8,1,"-86.6623,33.2688",0.5185436440037685,0.48134328358209,0.6273675762855759,0.1764,0.825,0.777746159832104,0.5070940498336849,0.5389221556886228,0.4939129750014257,0.313473726613206,0.0941261509282648,0.5455052210943652
25027,"Massachusetts, Worcester",0.4971706544378891,4,3,"-71.9049,42.3503",0.7015856310329109,0.68623676612127,0.6618428811949516,0.7931,0.675,0.18332614049526447,0.41463707371570335,0.29341317365269465,0.5092312328105775,0.2284646101988448,0.12064461257587385,0.4757819903735804
